Mach, CD_Power_Off
5.37, 0.214858562768499
5.38, 0.21462427316041
5.39, 0.214390343734264
5.40, 0.214156778190972
5.41, 0.213923547255514
5.42, 0.213690664512224
5.43, 0.213458101374329
5.44, 0.213225871440972
5.45, 0.212993945150442
5.46, 0.212762334271454
5.47, 0.212531012204169
5.48, 0.212299982613466
5.49, 0.212069234196113
5.50, 0.211838770409657
5.51, 0.211608565142253
5.52, 0.211378619433145
5.53, 0.211148926666517
5.54, 0.210919476229426
5.55, 0.210690261403095
5.56, 0.210461278109913
5.57, 0.210232512932905
5.58, 0.210003952125083
5.59, 0.209775604382884
5.60, 0.209547448386066
5.61, 0.209319480028419
5.62, 0.209091693692517
5.63, 0.208864082637168
5.64, 0.208636638328584
5.65, 0.208409342346686
5.66, 0.208182200186199
5.67, 0.207955209023784
5.68, 0.207728347089051
5.69, 0.207501603578161
5.70, 0.207274979503184
5.71, 0.207048481212275
5.72, 0.206822067723606
5.73, 0.206595760476282
5.74, 0.20636954765329
5.75, 0.206143403973461
5.76, 0.205917340340937
5.77, 0.205691340702014
5.78, 0.205465393956791
5.79, 0.205239499085535
5.80, 0.205013649793668
5.81, 0.204787829994202
5.82, 0.204562039071025
5.83, 0.204336270276565
5.84, 0.204110508020005
5.85, 0.203884761048746
5.86, 0.203658998206757
5.87, 0.203433226130502
5.88, 0.20320744878505
5.89, 0.202981640042748
5.90, 0.202755791371184
5.91, 0.202529896757146
5.92, 0.20230396527059
5.93, 0.202077973601039
5.94, 0.201851922590811
5.95, 0.201625794320535
5.96, 0.201399592786032
5.97, 0.201173299156393
5.98, 0.200946915230305
5.99, 0.200720425321604
6.00, 0.200493842637727
6.01, 0.200286462597386
6.02, 0.2001012969877
6.03, 0.199916498964002
6.04, 0.199732056592224
6.05, 0.19954797901339
6.06, 0.199364254410409
6.07, 0.199180879321963
6.08, 0.198997866671766
6.09, 0.198815213208056
6.10, 0.198632907147178
6.11, 0.198450957558825
6.12, 0.198269352575799
6.13, 0.198088091118935
6.14, 0.197907181854616
6.15, 0.197726623455575
6.16, 0.197546404856498
6.17, 0.197366524130586
6.18, 0.197186990325912
6.19, 0.197007791787169
6.20, 0.196828927925382
6.21, 0.196650416896738
6.22, 0.196472227517493
6.23, 0.19629437836021
